State,Date,New Deaths,Historic Deaths
United States,May 30 2021,255,0
United States,May 29 2021,310,0
United States,May 28 2021,707,0
United States,May 27 2021,544,0
United States,May 26 2021,525,0
United States,May 25 2021,506,0
United States,May 24 2021,353,217
United States,May 23 2021,289,0
United States,May 22 2021,401,0
United States,May 21 2021,674,0
United States,May 20 2021,528,0
United States,May 19 2021,607,0
United States,May 18 2021,604,0
United States,May 17 2021,373,0
United States,May 16 2021,439,0
United States,May 15 2021,437,0
United States,May 14 2021,696,0
United States,May 13 2021,590,0
United States,May 12 2021,702,0
United States,May 11 2021,612,0
United States,May 10 2021,422,0
United States,May  9 2021,406,0
United States,May  8 2021,619,0
United States,May  7 2021,815,0
United States,May  6 2021,671,0
United States,May  5 2021,723,0
United States,May  4 2021,694,0
United States,May  3 2021,474,0
United States,May  2 2021,503,0
United States,May  1 2021,626,0
United States,Apr 30 2021,796,0
United States,Apr 29 2021,768,0
United States,Apr 28 2021,848,0
United States,Apr 27 2021,541,0
United States,Apr 26 2021,487,0
United States,Apr 25 2021,433,0
United States,Apr 24 2021,663,0
United States,Apr 23 2021,846,0
United States,Apr 22 2021,794,0
United States,Apr 21 2021,779,0
United States,Apr 20 2021,740,0
United States,Apr 19 2021,487,0
United States,Apr 18 2021,503,0
United States,Apr 17 2021,636,0
United States,Apr 16 2021,813,0
United States,Apr 15 2021,797,0
United States,Apr 14 2021,801,0
United States,Apr 13 2021,748,0
United States,Apr 12 2021,546,0
United States,Apr 11 2021,468,0
United States,Apr 10 2021,748,0
United States,Apr  9 2021,839,26
United States,Apr  8 2021,861,0
United States,Apr  7 2021,827,0
United States,Apr  6 2021,722,0
United States,Apr  5 2021,375,0
United States,Apr  4 2021,519,0
United States,Apr  3 2021,744,0
United States,Apr  2 2021,844,0
United States,Apr  1 2021,817,0
United States,Mar 31 2021,958,0
United States,Mar 30 2021,723,0
United States,Mar 29 2021,557,0
United States,Mar 28 2021,617,0
United States,Mar 27 2021,856,0
United States,Mar 26 2021,1060,0
United States,Mar 25 2021,989,0
United States,Mar 24 2021,1121,0
United States,Mar 23 2021,753,0
United States,Mar 22 2021,942,0
United States,Mar 21 2021,549,0
United States,Mar 20 2021,722,0
United States,Mar 19 2021,1186,0
United States,Mar 18 2021,839,0
United States,Mar 17 2021,1056,0
United States,Mar 16 2021,863,0
United States,Mar 15 2021,699,0
United States,Mar 14 2021,662,0
United States,Mar 13 2021,976,0
United States,Mar 12 2021,1286,165
United States,Mar 11 2021,1324,0
United States,Mar 10 2021,1580,0
United States,Mar  9 2021,1019,138
United States,Mar  8 2021,821,0
United States,Mar  7 2021,913,0
United States,Mar  6 2021,1272,0
United States,Mar  5 2021,1956,0
United States,Mar  4 2021,1559,0
United States,Mar  3 2021,1558,0
United States,Mar  2 2021,1357,0
United States,Mar  1 2021,1258,0
United States,Feb 28 2021,1089,0
United States,Feb 27 2021,1613,0
United States,Feb 26 2021,1934,0
United States,Feb 25 2021,2936,0
United States,Feb 24 2021,2007,0
